# Mode: Color Science
# Date: 2026-03-13 13:07:15
# Measurement type: ILLUMINATION
# Light source: off
# Gain: 10.0
# Exposure: 10000
# XYZ: X=145.65 Y=245.84 Z=52.00
# LAB: L*=140.56 a*=-108.05 b*=109.10
# xy: x=0.3284 y=0.5543
Pixel,Wavelength,Measured,Dark
150,343.336144,0.0,0.06570712476968765
151,343.831478,0.00026553869247436523,0.06411849707365036
152,344.326806,0.00034897029399871826,0.06445777416229248
153,344.822127,0.00010515004396438599,0.06438222527503967
154,345.317442,0.0028728917241096497,0.061969079077243805
155,345.81275,0.0027968063950538635,0.0637652799487114
156,346.308051,0.0,0.06402736902236938
157,346.803346,0.0009950920939445496,0.06383729726076126
158,347.298634,0.00021824240684509277,0.06410453468561172
159,347.793915,0.0,0.06399616599082947
160,348.289191,0.000581108033657074,0.0637422651052475
161,348.784459,0.0,0.06498084962368011
162,349.279721,0.0,0.06604243069887161
163,349.774977,0.0,0.06656105071306229
164,350.270227,0.0006313100457191467,0.06526963412761688
165,350.76547,0.0017070099711418152,0.06485765427350998
166,351.260707,0.0028119459748268127,0.06394392997026443
167,351.755937,0.0009597465395927429,0.06373411417007446
168,352.251162,0.0,0.06423316150903702
169,352.74638,0.0009079575538635254,0.06493823975324631
170,353.241592,0.0017457455396652222,0.06468057632446289
171,353.736797,0.00037720799446105957,0.06578115373849869
172,354.231997,0.0007073879241943359,0.06507005542516708
173,354.72719,0.0017179995775222778,0.06565827131271362
174,355.222378,0.00042562931776046753,0.06497915089130402
175,355.717559,0.0,0.06638491153717041
176,356.212735,0.004272200167179108,0.06292765587568283
177,356.707904,0.0,0.06539338827133179
178,357.203068,0.0,0.06539338827133179
179,357.698225,0.0,0.06422609835863113
180,358.193377,0.0,0.06441012024879456
181,358.688523,0.0,0.06421635299921036
182,359.183663,0.0,0.06518495827913284
183,359.678797,0.0,0.06491358578205109
184,360.173925,0.0010147541761398315,0.06401340663433075
185,360.669048,0.0019707903265953064,0.06304027140140533
186,361.164165,0.003421299159526825,0.06362748146057129
187,361.659276,0.0025140270590782166,0.06552327424287796
188,362.154382,0.0,0.06462892144918442
189,362.649482,0.0,0.0637313574552536
190,363.144577,0.0007947608828544617,0.06334760785102844
191,363.639666,0.000994950532913208,0.06376155465841293
192,364.134749,0.00025582313537597656,0.06432337313890457
193,364.629827,0.0017085298895835876,0.06405791640281677
194,365.1249,1.1861324310302734e-05,0.06555473804473877
195,365.619967,0.0,0.06697224825620651
196,366.115028,0.0,0.06660693138837814
197,366.610085,0.0,0.06635980308055878
198,367.105136,0.0,0.06599721312522888
199,367.600181,0.002886377274990082,0.06434156745672226
200,368.095222,0.0,0.06527907401323318
201,368.590257,0.0005325376987457275,0.06525228917598724
202,369.085287,0.0,0.06656699627637863
203,369.580311,0.0,0.06597048789262772
204,370.075331,0.001742728054523468,0.06487061828374863
205,370.570345,0.0,0.0664711594581604
206,371.065355,0.0,0.06370024383068085
207,371.560359,0.0,0.0642368346452713
208,372.055358,0.0007483288645744324,0.06464917212724686
209,372.550352,0.0010346323251724243,0.06607404351234436
210,373.045342,0.0011106282472610474,0.06415195763111115
211,373.540326,0.0,0.0662064179778099
212,374.035305,0.006985940039157867,0.06521067768335342
213,374.53028,0.0,0.06866558641195297
214,375.025249,0.0,0.06839466840028763
215,375.520214,0.0,0.06879276782274246
216,376.015174,0.00017274916172027588,0.06495432555675507
217,376.510129,0.0011970847845077515,0.06251302361488342
218,377.00508,0.0,0.06655779480934143
219,377.500026,0.0016860365867614746,0.06237008422613144
220,377.994967,0.0012702122330665588,0.0640154480934143
221,378.489903,0.0035015344619750977,0.0640893206000328
222,378.984835,0.0008185803890228271,0.06666242331266403
223,379.479763,0.0,0.06685077399015427
224,379.974685,0.0023496225476264954,0.06286831945180893
225,380.469604,0.0009698420763015747,0.06524064391851425
226,380.964517,0.0011513009667396545,0.0647333562374115
227,381.459427,0.0007388591766357422,0.06515729427337646
228,381.954332,0.0005581304430961609,0.06389874964952469
229,382.449232,0.0017453134059906006,0.06253725290298462
